"track_id","track_name","artist_name","album_name","album_release_year","album_release_date_precision","album_type","album_release_date","track_number","explicit","type","disc_number","time_signature","tempo","duration_ms","key_name","mode_name","key_mode","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","Position","Year","Top_100"
"1Qz6hxGsv9XipsbD5XoHPg","Put My Tongue on You","Trick Daddy","Dunk Ride or Duck Down",2018,"day","album","2018-07-06",5,TRUE,"track",1,4,81.94,218824,"D","minor","D minor",0.644,0.826,2,-4.982,0,0.0388,0.0247,0,0.138,0.887,NA,NA,"No"
"3ZM8zKwgvmfehMCsuguxyb","The Charms Of The Arms Of Love","Bobby Hebb","Love Games",1969,"year","album","1969",11,FALSE,"track",1,4,183.35,295066,"E","minor","E minor",0.273,0.383,4,-14.154,0,0.0381,0.246,6.33e-06,0.622,0.41,NA,NA,"No"
"5QCPoJHSxbNugKkJVXlCaW","Mississippi Basin - Remastered - 1996","Louis Armstrong","The Complete RCA Victor Recordings",1990,"day","album","1990-01-01",2,FALSE,"track",2,4,107.586,187800,"D","minor","D minor",0.606,0.166,2,-11.871,0,0.0457,0.988,0.000206,0.244,0.388,NA,NA,"No"
"781plUYinAku1wVS2TCxgn","Bless You","Martha Reeves & The Vandellas","Black Magic",1972,"year","album","1972",7,FALSE,"track",1,4,96.467,184506,"C","minor","C minor",0.657,0.717,0,-10.583,0,0.0384,0.379,0.0176,0.338,0.905,NA,NA,"No"
"5nvO7hvLYUcliJEEGObWSB","It Ain't Necessarily So","King Curtis","Soul Meeting",2013,"day","album","2013-03-19",10,FALSE,"track",1,3,169.606,178013,"G","minor","G minor",0.323,0.0542,7,-12.046,0,0.0334,0.938,0.891,0.112,0.179,NA,NA,"No"
"11Nn8GRhqLhjEHM4ZGcJRa","I'm A Believer - Live At The Greek Theatre/2012","Neil Diamond","Hot August Night III",2018,"day","album","2018-08-17",19,FALSE,"track",1,4,78.334,435213,"F","major","F major",0.252,0.777,5,-5.378,1,0.0984,0.0693,2.14e-06,0.74,0.532,NA,NA,"No"
"4UBb1whWFbrqBhKKbm1XR9","Hello Good-Bye I Love You","David Essex","Sunset",2003,"day","album","2003-09-17",4,FALSE,"track",1,4,123.982,193306,"C","major","C major",0.683,0.727,0,-10.065,1,0.0289,0.158,0.0257,0.0415,0.646,NA,NA,"No"
"669giiR91QaWymBMuaRepU","<U+30B0><U+30C3><U+30C9><U+30D0><U+30A4> - <U+30E9><U+30A4><U+30F4>","Night Ranger","<U+30CA><U+30A4><U+30C8>·<U+30EC><U+30F3><U+30B8><U+30E3><U+30FC> 35<U+5468><U+5E74><U+8A18><U+5FF5><U+30E9><U+30A4><U+30F4>·<U+30A4><U+30F3>·<U+30B7><U+30AB><U+30B4>2016",2016,"day","album","2016-11-18",1,FALSE,"track",2,4,80.532,375573,"D#","major","D# major",0.29,0.559,3,-6.623,1,0.0507,0.078,7.12e-06,0.99,0.516,NA,NA,"No"
"5pOZmPIcDuxNBLJbhNF1at","Yeah","Fuel","Puppet Strings",2013,"year","album","2013",1,FALSE,"track",1,4,139.108,193757,"F#","major","F# major",0.372,0.943,6,-2.423,1,0.105,1.08e-05,0.00856,0.391,0.557,NA,NA,"No"
"50SVcXTCBoPa2XbyFvb2Qo","Soft Spoken Guy","Diane Renay","Navy Blue - 25 Super Tracks",2009,"day","album","2009-01-01",15,FALSE,"track",1,4,105.889,162706,"E","minor","E minor",0.574,0.542,4,-7.646,0,0.0357,0.451,0,0.342,0.699,NA,NA,"No"
"2mTiwXtRI0SdshJBbrNKzB","Drinkin' Wine Spo-Dee-O-Dee","Jerry Lee Lewis","Monsters",1970,"day","album","1970-01-01",9,FALSE,"track",1,4,93.302,155374,"C","major","C major",0.484,0.817,0,-7.989,1,0.0319,0.617,0.00927,0.307,0.91,NA,NA,"No"
"3JHKWbdxzqQEspHy7BfM75","Deep as It Goes","Gerald Levert","In My Songs",2007,"day","album","2007-02-13",6,FALSE,"track",1,4,112.249,304026,"D#","minor","D# minor",0.717,0.636,3,-3.318,0,0.0417,0.148,0,0.0852,0.589,NA,NA,"No"
"5v1bbyTAq5m8J5Czy5JBWL","Don't Give Up On Me","Gerry Rafferty","On A Wing & A Prayer",1992,"day","album","1992-01-01",7,FALSE,"track",1,4,80.187,299773,"D","major","D major",0.502,0.69,2,-9.151,1,0.0336,0.376,0.00026,0.119,0.962,NA,NA,"No"
"2iby4WRyXmxl0JkUowjzRc","Get My Rocks Off","Dr. Hook","Revisited",1976,"year","album","1976",7,FALSE,"track",1,4,152.224,185906,"G","major","G major",0.513,0.55,7,-13.315,1,0.188,0.697,0,0.351,0.768,NA,NA,"No"
"0t9frA5qlROV9hjxVc8G1r","Gypsies in Flight","Ringo Starr","Ringo The 4th",1977,"year","album","1977",9,FALSE,"track",1,4,104.933,182440,"D","major","D major",0.553,0.0887,2,-21.851,1,0.0301,0.814,0.00283,0.211,0.45,NA,NA,"No"
"0btdlFQ5qJ7mwJOhbtFHVw","Little Is Much","The Oak Ridge Boys","On The Sunny Banks",2000,"day","album","2000-01-01",12,FALSE,"track",1,3,171.496,161480,"G","major","G major",0.295,0.131,7,-14.415,1,0.0292,0.953,0.00101,0.204,0.111,NA,NA,"No"
"4QppqbXGMgcUf7jPKG6HP5","Streets Of Laredo","Duane Eddy","Hard Walks",2013,"day","album","2013-05-07",9,FALSE,"track",1,3,84.857,184720,"E","major","E major",0.731,0.0646,4,-16.349,1,0.0987,0.856,0.859,0.108,0.114,NA,NA,"No"
"2KneQsqzr1nocj3oaBucE6","Don't Take Your Love","The Whispers","Whispers Gettin' Louder",1974,"day","album","1974-06-28",7,FALSE,"track",1,4,124.154,180501,"G","major","G major",0.696,0.623,7,-12.554,1,0.0639,0.306,0,0.514,0.784,NA,NA,"No"
"2kI02hth4p6UfZcbDlONPX","My Old Car","Lee Dorsey","Soul Mine - The Greatest Hits & More 1960-1978",2012,"day","album","2012-08-01",15,FALSE,"track",2,4,71.159,121160,"C","major","C major",0.634,0.525,0,-8.336,1,0.039,0.561,0.00335,0.352,0.922,NA,NA,"No"
"4SPPgID04klE3OVCbgl1xJ","I Don't Want To Forget How To Jive","Thin Lizzy","Shades Of A Blue Orphanage",1972,"day","album","1972-01-01",3,FALSE,"track",1,4,138.852,106466,"D","minor","D minor",0.71,0.439,2,-20.137,0,0.0581,0.857,0.674,0.306,0.95,NA,NA,"No"
"4jrd6SjymyZ4jG5cLAc48x","Amanda Diva Skit","Pitbull","EL MARIEL",2006,"day","album","2006-11-01",11,FALSE,"track",1,1,91.052,42240,"A#","minor","A# minor",0.725,0.141,10,-14.949,0,0.892,0.286,0,0.321,0.59,NA,NA,"No"
"5Fv4xArMOGrjGhxLuLwqiP","Wanna Be With You","Aloe Blacc","Lift Your Spirit",2013,"day","album","2013-01-01",6,FALSE,"track",1,4,100.949,224760,"A#","major","A# major",0.653,0.683,10,-7.1,1,0.03,0.0595,0,0.507,0.696,NA,NA,"No"
"3luepdRsJKt4TBtSU26Cwz","Precious, Precious - Long Version","Isaac Hayes","Presenting Isaac Hayes",1995,"year","album","1995",6,FALSE,"track",1,4,127.128,1148000,"D#","minor","D# minor",0.54,0.283,3,-14.928,0,0.0405,0.649,0.838,0.116,0.356,NA,NA,"No"
"11Q0luzfyqlCosuFNciN1U","Semiramide / Act 2: Ah, la sorte ci tradì","London Symphony Orchestra","Rossini: Semiramide",1994,"day","album","1994-01-03",48,FALSE,"track",1,4,119.765,229002,"A","major","A major",0.398,0.209,9,-18.021,1,0.0439,0.986,0.0314,0.227,0.258,NA,NA,"No"
"6Pa4gPKLZPke6imyHFnvF9","I'm Blue","Millie Small","My Boy Lollipop",2011,"day","album","2011-11-01",5,FALSE,"track",1,4,121.416,155000,"F","major","F major",0.653,0.705,5,-7.937,1,0.0434,0.82,0,0.205,0.962,NA,NA,"No"
"4niv5atVTBVPDGoTfscvoB","Michelle De Ann","The Newbeats","More from the Newbeats: Vol. 1",2013,"day","album","2013-04-16",1,FALSE,"track",1,4,135.178,181333,"D","major","D major",0.607,0.871,2,-9.049,1,0.0322,0.471,0.0168,0.612,0.758,NA,NA,"No"
"6orh8DuFzzwpcXUTujyIsF","Floatin' Down To Cotton Town","The Chordettes","Close Harmony",2006,"year","album","2006",2,FALSE,"track",1,4,138.311,120320,"F","major","F major",0.657,0.12,5,-14.561,1,0.122,0.971,0,0.0865,0.288,NA,NA,"No"
"34YIEfg0Ivd7ABRwIBQh3W","I Would Die For You","Jann Arden","Greatest Hurts - The Best Of Jann Arden",2001,"day","album","2001-01-01",4,FALSE,"track",1,4,100.162,277493,"C","minor","C minor",0.523,0.485,0,-8.761,0,0.0264,0.0847,9.16e-05,0.0642,0.311,NA,NA,"No"
"69gOGnKhZQjQ74JQU064Wc","Just in Time - Live","Frankie Valli & The Four Seasons","On Stage with The 4 Seasons",1965,"year","album","1965",2,FALSE,"track",1,4,116.077,135200,"D#","minor","D# minor",0.502,0.522,3,-11.793,0,0.139,0.536,0,0.973,0.56,NA,NA,"No"
"5sUyyiaJTXRAlkEFCsJUZl","The Wedding","Anita Bryant","Anita Bryant's Greatest Hits",2006,"day","album","2006-01-20",2,FALSE,"track",1,3,98.661,160654,"C","major","C major",0.319,0.146,0,-12.128,1,0.0315,0.94,2.87e-06,0.0955,0.177,NA,NA,"No"
"5VGEDANwpnwko4pfEa7FJZ","Stormy Weather","George Benson","Sony Jazz Portrait",1996,"year","album","1996",4,FALSE,"track",1,4,127.545,137600,"F","major","F major",0.609,0.442,5,-14.836,1,0.0942,0.3,0,0.167,0.931,NA,NA,"No"
"3HubBV3P8RFeIrJYsnZaPZ","The Voice Of Reason","Asia","Aqua",1992,"year","album","1992",7,FALSE,"track",1,4,79.958,337026,"C","major","C major",0.445,0.261,0,-16.636,1,0.0444,0.443,1.81e-05,0.524,0.553,NA,NA,"No"
